date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:49	345/345	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:03:48%20GMT	http://medicare.bold-themes.com/robots.txt		(from )
21:03:49	90287/90287	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:03:48%20GMT	http://medicare.bold-themes.com/clinic	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic.html	(from )
21:03:50	41467/41467	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2009:04:08%20GMT	http://medicare.bold-themes.com/clinic/wp-includes/css/dist/block-library/style.min.css?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-includes/css/dist/block-library/style.min4d2c.css	(from http://medicare.bold-themes.com/clinic)
21:03:51	65142/65142	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2009:30:20%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.3.0	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylea1ec.css	(from http://medicare.bold-themes.com/clinic)
21:03:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Jul%202020%2014:03:51%20GMT	http://s.w.org/	/Users/bo4/websites/aba/s.w.org/index.html	(from http://medicare.bold-themes.com/clinic)
21:03:51	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jul%202020%2014:03:51%20GMT	http://fonts.googleapis.com/	/Users/bo4/websites/aba/fonts.googleapis.com/index.html	(from http://medicare.bold-themes.com/clinic)
21:03:53	28327/28327	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2023%20Aug%202019%2014:05:50%20GMT	http://medicare.bold-themes.com/clinic/feed/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/feed/index.html	(from http://medicare.bold-themes.com/clinic)
21:03:53	1645/1645	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2009:29:43%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from http://medicare.bold-themes.com/clinic)
21:03:54	1139/1139	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2017%20Dec%202015%2009:30:04%20GMT	http://medicare.bold-themes.com/clinic/sample-page/feed/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/sample-page/feed/index.html	(from http://medicare.bold-themes.com/clinic)
21:03:54	11482/11482	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2017%20Dec%202015%2009:30:04%20GMT	http://medicare.bold-themes.com/clinic/comments/feed/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/comments/feed/index.html	(from http://medicare.bold-themes.com/clinic)
21:03:55	10506/10506	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Nov%202019%2010:39:53%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/mp-timetable/media/css/style.css?ver=2.3.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/mp-timetable/media/css/style531b.css	(from http://medicare.bold-themes.com/clinic)
21:03:57	3580/3580	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/print.css?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/print4d2c.css	(from http://medicare.bold-themes.com/clinic)
21:04:01	7899/7899	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/magnific-popup.css?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/magnific-popup4d2c.css	(from http://medicare.bold-themes.com/clinic)
21:04:01	696178/696178	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202020%2014:42:49%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/style.css?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/style4d2c.css	(from http://medicare.bold-themes.com/clinic)
21:04:03	30021/30021	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2009:29:43%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.min.css?ver=1.11.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/jquery-ui.mine899.css	(from http://medicare.bold-themes.com/clinic)
21:04:03	8056/8056	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2014:03:59%20GMT	https://fonts.googleapis.com/css?family=Montserrat%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%2C100italic%2C200italic%2C300italic%2C400italic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic%7CMontserrat%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%2C100italic%2C200italic%2C300italic%2C400italic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic%7CMontserrat%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%2C100italic%2C200italic%2C300italic%2C400italic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic%7CSource+Serif+Pro%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%2C100italic%2C200italic%2C300italic%2C400italic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic%7CSource+Serif+Pro%3A100%2C200%2C300%2C400%2C500%2C600%2C700%2C800%2C900%2C100italic%2C200italic%2C300italic%2C400italic%2C500italic%2C600italic%2C700italic%2C800italic%2C900italic&subset=latin%2Clatin-ext&ver=1.0.0	/Users/bo4/websites/aba/fonts.googleapis.com/css356f.css	(from http://medicare.bold-themes.com/clinic)
21:04:05	96873/96873	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Oct%202019%2012:48:50%20GMT	http://medicare.bold-themes.com/clinic/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-includes/js/jquery/jquery4a5f.js	(from http://medicare.bold-themes.com/clinic)
21:04:05	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Jun%202016%2019:14:29%20GMT	http://medicare.bold-themes.com/clinic/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://medicare.bold-themes.com/clinic)
21:04:06	3718/3718	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2029%20Jan%202020%2009:25:18%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/cleantalk-spam-protect/js/apbct-public.min.js?ver=5.129	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/cleantalk-spam-protect/js/apbct-public.min8ad1.js	(from http://medicare.bold-themes.com/clinic)
21:04:07	3776/3776	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2029%20Jan%202020%2009:25:18%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/cleantalk-spam-protect/js/cleantalk_nocache.min.js?ver=5.129	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/cleantalk-spam-protect/js/cleantalk_nocache.min8ad1.js	(from http://medicare.bold-themes.com/clinic)
21:04:07	1545/1545	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2029%20Jan%202020%2009:29:38%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/bold-page-builder/script_fe.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/bold-page-builder/script_fe4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:09	51627/51627	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Mar%202018%2014:29:34%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/bt_cost_calculator/jquery.dd.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/bt_cost_calculator/jquery.dd4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:09	26831/26831	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Mar%202018%2014:29:34%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/bt_cost_calculator/cc.main.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/bt_cost_calculator/cc.main4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:11	9312/9312	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:37:03%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/medicare/bt_elements.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/medicare/bt_elements4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:12	1487/1487	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2029%20Jan%202020%2009:29:47%20GMT	http://medicare.bold-themes.com/clinic/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1.10.1	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker73b9.js	(from http://medicare.bold-themes.com/clinic)
21:04:13	40461/40461	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/slick.min.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/slick.min4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:14	21157/21157	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/jquery.magnific-popup.min.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/jquery.magnific-popup.min4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:15	50100/50100	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/iscroll.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/iscroll4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:16	6911/6911	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/fancySelect.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/fancySelect4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:17	2363/2363	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/html5shiv.min.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/html5shiv.min4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:17	4061/4061	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/respond.min.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/respond.min4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:19	16575/16575	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2018%20Jun%202020%2009:39:07%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/misc.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/misc4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:20	12046/12046	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/header.misc.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/header.misc4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:21	6074/6074	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/dir.hover.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/dir.hover4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:22	7406/7406	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2030%20Jan%202020%2015:36:13%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/sliders.js?ver=5.2.4	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare/js/sliders4d2c.js	(from http://medicare.bold-themes.com/clinic)
21:04:23	894/894	---MCZ	200	added ('OK')	text/xml	date:Mon,%2020%20Jul%202020%2014:04:22%20GMT	http://medicare.bold-themes.com/clinic/xmlrpc.php?rsd	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/xmlrpc0db0.php	(from http://medicare.bold-themes.com/clinic)
21:04:24	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Thu,%2031%20Dec%202015%2012:51:30%20GMT	http://medicare.bold-themes.com/clinic/wp-includes/wlwmanifest.xml	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-includes/wlwmanifest.xml	(from http://medicare.bold-themes.com/clinic)
21:04:26	2223/2223	---MCZ	200	added ('OK')	application/json	date:Mon,%2020%20Jul%202020%2014:04:24%20GMT	http://medicare.bold-themes.com/clinic/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmedicare.bold-themes.com%2Fclinic%2F	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-json/oembed/1.0/embed5b80.json	(from http://medicare.bold-themes.com/clinic)
21:04:28	90287/90287	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:25%20GMT	http://medicare.bold-themes.com/clinic/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/index.html	(from http://medicare.bold-themes.com/clinic)
21:04:28	589004/589004	---MCZ	200	added ('OK')	application/json	date:Mon,%2020%20Jul%202020%2014:04:23%20GMT	http://medicare.bold-themes.com/clinic/wp-json/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-json/index.html	(from http://medicare.bold-themes.com/clinic)
21:04:28	2700/2700	---MCZ	200	added ('OK')	text/xml	date:Mon,%2020%20Jul%202020%2014:04:27%20GMT	http://medicare.bold-themes.com/clinic/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmedicare.bold-themes.com%2Fclinic%2F&format=xml	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-json/oembed/1.0/embed2c06	(from http://medicare.bold-themes.com/clinic)
21:04:28	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Jul%202020%2014:04:27%20GMT	http://medicare.bold-themes.com/clinic/wp-content/themes/medicare	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/themes/medicare	(from http://medicare.bold-themes.com/clinic)
21:04:29	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2020%20Jul%202020%2014:04:29%20GMT	http://medicare.bold-themes.com/clinic/wp-admin/admin-ajax.php	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-admin/admin-ajax.php	(from http://medicare.bold-themes.com/clinic)
21:04:30	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:29%20GMT	http://medicare.bold-themes.com/wp-content/themes/medicare/	/Users/bo4/websites/aba/medicare.bold-themes.com/wp-content/themes/medicare/index.html	(from http://medicare.bold-themes.com/clinic)
21:04:30	11271/11271	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Mar%202018%2007:16:38%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-favicon-100x100.png	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-favicon-100x100.png	(from http://medicare.bold-themes.com/clinic)
21:04:31	11975/11975	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Mar%202018%2007:16:38%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-favicon.png	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-favicon.png	(from http://medicare.bold-themes.com/clinic)
21:04:33	8410/8410	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Mar%202018%2007:06:54%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-logo-color.png	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-logo-color.png	(from http://medicare.bold-themes.com/clinic)
21:04:34	6331/6331	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Mar%202018%2007:06:53%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-logo-white.png	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2018/03/medicare-logo-white.png	(from http://medicare.bold-themes.com/clinic)
21:04:35	478/478	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:32%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-WTG4KM9	/Users/bo4/websites/aba/www.googletagmanager.com/ns1ca6.html	(from http://medicare.bold-themes.com/clinic)
21:04:38	15147/15147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:44:52%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/hero-1-320x210.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/hero-1-320x210.jpg	(from http://medicare.bold-themes.com/clinic)
21:04:38	41332/41332	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:35%20GMT	https://twitter.com/bold_themes	/Users/bo4/websites/aba/twitter.com/bold_themes.html	(from http://medicare.bold-themes.com/clinic)
21:04:43	54574/54574	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:37%20GMT	http://medicare.bold-themes.com/clinic/sample-page/horizontal-centered-menu/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/sample-page/horizontal-centered-menu/index.html	(from http://medicare.bold-themes.com/clinic)
21:04:46	13996/13996	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:46:42%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/shutterstock_1393269051-320x210.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/shutterstock_1393269051-320x210.jpg	(from http://medicare.bold-themes.com/clinic)
21:04:53	200591/200591	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:44:52%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/hero-1.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/hero-1.jpg	(from http://medicare.bold-themes.com/clinic)
21:04:56	23547/23547	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:43:33%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/devojcica-kod-zubara-320x320.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/devojcica-kod-zubara-320x320.jpg	(from http://medicare.bold-themes.com/clinic)
21:04:57	92167/92167	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:38%20GMT	https://www.pinterest.com/boldthemes/	/Users/bo4/websites/aba/www.pinterest.com/boldthemes/index.html	(from http://medicare.bold-themes.com/clinic)
21:04:58	132594/132594	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:46:42%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/shutterstock_1393269051.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/shutterstock_1393269051.jpg	(from http://medicare.bold-themes.com/clinic)
21:04:59	14568/14568	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:43:17%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/srce-i-stetoskop-320x320.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/srce-i-stetoskop-320x320.jpg	(from http://medicare.bold-themes.com/clinic)
21:05:01	19390/19390	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Jan%202016%2015:43:25%20GMT	http://medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/kiroprakticar-320x320.jpg	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/wp-content/uploads/sites/2/2015/12/kiroprakticar-320x320.jpg	(from http://medicare.bold-themes.com/clinic)
21:05:01	56283/56283	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:57%20GMT	http://medicare.bold-themes.com/clinic/sample-page/horizontal-left-menu/horizontal-left-with-hero-image/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/sample-page/horizontal-left-menu/horizontal-left-with-hero-image/index.html	(from http://medicare.bold-themes.com/clinic)
21:05:01	60496/60496	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2014:04:58%20GMT	http://medicare.bold-themes.com/clinic/sample-page/horizontal-left-menu/horizontal-right-with-hero-image/	/Users/bo4/websites/aba/medicare.bold-themes.com/clinic/sample-page/horizontal-left-menu/horizontal-right-with-hero-image/index.html	(from http://medicare.bold-themes.com/clinic)
